typ;name;aadr;eadr;sadr;dir;file;md5;doublette
S;HEX-DATA.A;3000;3399;0000;z1013/a_ziermann/unsorted2/tools;S.HEX-DATA.A.z80;7ec33f83a62a3bdcc7f59833ad5a3b3f;N
I;ASM.COMDOC1;3000;A838;0000;z1013/Sammlung IGD/igd30a Text 6;I.ASM.COM DOC1.z80;1b95c860ede573a6062d5bab0f24ebc0;N
C;ROM-DISC-BILD;0100;0510;0100;z1013/Sammlung IGD/igd23b MC 8;C.ROM-DISC-BILD.z80;40f6cf03c6d50244b39505ade280d9aa;N
S;Z1013_AN.A;3000;45AF;0000;z1013/a_ziermann/unsorted2/tools;S.Z1013_AN.A.z80;c00460e5ce10468f5fa71bfae8d6d99c;N
B;FORMELI;2BC0;3155;0000;z1013/Sammlung IGD/igd08b KC-Basic+ 2;B.FORMEL I.z80;7838b7f70ce1a952076a1cf4249d81f1;N
C;EXREAS2.01;3400;3FFF;3400;z1013/a_ziermann/lang;C.EXREAS 2.01.z80;bdbbda215ab5b6b902af2f7ea50c9634;N
C;DUMPX;E400;E480;E400;z1013/a_ziermann/nu;C.DUMPX.z80;80bb31cd391fee95b91b41e9139df433;N
M;TURBO.COM;0100;79FF;0121;z1013/Sammlung IGD/igd18a CPM 2;M.TURBO.COM.z80;449ad5706a4b0e725ac17e8f3c8e7d5d;N
T;EdasTEXT;1800;265D;0000;z1013/a_ziermann/unsorted1;T.Edas TEXT.z80;74d2d6b087cff1e0d481925e9607f9f6;N
b;WORDS;1000;2F0C;0000;z1013/Sammlung IGD/igd04b TINY 2;b.WORDS.z80;8ef769ca6064795eae97173d3dd41333;N
C;ZAEHLERMODUL;3C00;3E90;3C00;z1013/a_ziermann/nu;C.ZAEHLERMODUL.z80;41e497563b2c5820bd6327c86152aa53;N
M;TB-VERZ.-->B0H;01B0;0C23;0000;z1013/Sammlung IGD/igd23b MC 8;M.TB-VERZ. --_B0H.z80;aae1c3d0336fd1759bc1b759a27639c5;N
C;DISPLAY-@A,T,F;0100;0280;E000;z1013/Sammlung IGD/igd06a MC 1;C.DISPLAY-@A,T,F.z80;0a7e59f6ed11db4db0f9b3afc7f0e760;N
C;DISPLAY-@A,T,F;0100;0280;E000;z1013/Sammlung IGD/igd23a MC 8;C.DISPLAY-@A,T,F.z80;0a7e59f6ed11db4db0f9b3afc7f0e760;J
I;MWORD+ASM;4800;5231;0000;z1013/Tagungskassetten/Tagungskassette Leipzig Nachtagung Nov. 1989/b;I.MWORD+ASM.z80;7273d069e2371a94f56fd15d931b811e;N
M;POWER.COM;0100;3AFF;0058;z1013/Sammlung IGD/igd02a CPM 1;M.POWER.COM.z80;592fe19811e881cffd4e484277caf1ec;N
B;EIDA;2BC0;35ED;0302;z1013/Sammlung IGD/igd22a KC-BASIC+ 4;B.EIDA.z80;141dcf7680711db0d6244c30c2767248;N
C;ORGEL(8);0300;0350;0300;z1013/a_ziermann/nu;C.ORGEL(8).z80;3d3dc49832e38bc9658da5eef136444a;N
C;LAUF+BRIEF;0100;2C00;0103;z1013/Sammlung IGD/igd06b MC 1;C.LAUF+BRIEF.z80;225019401200795cde1946ee16288133;N
C;LAUF+BRIEF;0100;2C00;0103;z1013/Sammlung IGD/igd23a MC 8;C.LAUF+BRIEF.z80;225019401200795cde1946ee16288133;J
T;BASICODES.1-9;3000;5FFF;0000;z1013/Sammlung IGD/igd20a Text;T.BASICODE S. 1-9.z80;0ee6e6db2ce21458e393d718644bf5e9;N
B;AUSLESE;2BC0;313E;0302;z1013/Sammlung IGD/igd05b KC-Basic+ 1;B.AUSLESE.z80;a6759a81b20545fb4057dce634c3b5ff;N
B;PYRAMIDE(laeuft);2BC0;6000;0302;z1013/a_ziermann/unsorted1;B.PYRAMIDE(laeuft).z80;cb909bcbc8038037a15e2f4de673491d;N
C;VAMPI;0700;14DF;1000;z1013/a_ziermann/games/oldkeyb;C.VAMPI.z80;6f35be908df233991971e9601519e2bc;N
C;VAMPI;0700;14DF;1000;z1013/Sammlung IGD/igd07b MC 2;C.VAMPI.z80;6f35be908df233991971e9601519e2bc;J
C;PYRAMIDE.COM;0100;4050;0100;z1013/a_ziermann/unsorted2/Lost&found;C.PYRAMIDE.COM.z80;df79c446a85a29e25180ed8005a92548;N
T;MURPHY-DOC/VP;1800;5524;0000;z1013/Sammlung IGD/igd14a Text 3;T.MURPHY-DOC_VP.z80;59a6a60eed6b58632ed0543944ad0a30;N
b;VOICE-DEMO;1000;77FF;0000;z1013/Sammlung IGD/igd04b TINY 2;b.VOICE-DEMO.z80;7027ee907d81defdce7f45140f4b921a;N
C;TURTLEPLAYER+J.;0100;1010;0100;z1013/a_ziermann/unsorted3;C.TURTLE PLAYER+J..z80;38f974b7dc4bcd72fe9ba3886f060724;N
C;DEMO-Z1013;0100;3FFF;0100;z1013/a_ziermann/sonst;C.DEMO-Z1013.z80;04c14e4151b8ccb677ea893fcc55909a;N
C;DEMO-Z1013;0100;3FFF;0100;z1013/Tagungskassetten/m0191 Softwarebörse 1987/a;C.DEMO-Z1013.z80;04c14e4151b8ccb677ea893fcc55909a;J
B;POET;2BC0;3139;0000;z1013/Sammlung IGD/igd05a KC-Basic+ 1;B.POET.z80;17356ed0aa6abecda704f10b2d5bf3f8;N
T;ROM-DISC.I;1800;2BC8;0000;z1013/a_ziermann/unsorted2/info;T.ROM-DISC.I.z80;571eb123b7a527ae5f4b9bcb72848336;N
